epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.16463,1.01354,3.53514,1.03786,0.01299,1,0.02314,0.02083,0.44324,3.62946,0.66174,0,0,0
2,2.45264,1.01188,3.52755,1.02891,0.01333,1,0.02314,0.02083,0.43153,3.6293,0.66067,9.5743e-06,9.5743e-06,9.5743e-06
3,3.54771,0.98153,3.34315,0.93424,0.01408,1,0.02369,0.02132,0.41249,3.63066,0.65783,9.7172e-06,9.7172e-06,9.7172e-06
