epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9513,1.46475,4.5055,1.07108,0.01091,0.21148,0.02789,0.01842,1.48493,4.4087,0.92018,0.0001911,0.0001911,0.0001911
2,54.9624,1.47132,4.07431,0.97598,0.00976,0.32707,0.0474,0.03288,1.28192,4.10581,0.89534,0.000310454,0.000310454,0.000310454
3,81.9527,1.49586,3.73613,0.96345,0.52495,0.12221,0.08013,0.06121,1.3135,3.50473,0.91661,0.000352192,0.000352192,0.000352192
4,109.28,1.44906,3.46816,0.96326,0.53473,0.15078,0.09377,0.07037,1.33191,3.19831,0.92017,0.000238728,0.000238728,0.000238728
5,134.917,1.40529,3.29765,0.94909,0.54274,0.14775,0.10024,0.07369,1.3023,3.05515,0.91242,0.000122304,0.000122304,0.000122304
