epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05573,1.01354,3.53514,1.03786,0.01299,1,0.02314,0.02083,0.44324,3.62946,0.66174,0,0,0
2,5.4604,1.01188,3.52755,1.02891,0.01333,1,0.02314,0.02083,0.42517,3.62995,0.65907,1.35826e-05,1.35826e-05,1.35826e-05
3,6.82203,0.97135,3.34118,0.92996,0.01389,1,0.02488,0.02239,0.38881,3.62923,0.654,2.57506e-05,2.57506e-05,2.57506e-05
4,8.00995,0.81442,3.42422,0.95793,0.01389,1,0.02689,0.0242,0.34353,3.62804,0.64638,3.65038e-05,3.65038e-05,3.65038e-05
5,9.03181,0.9306,3.50648,0.9845,0.01389,1,0.02689,0.0242,0.34353,3.62804,0.64638,4.58423e-05,4.58423e-05,4.58423e-05
6,10.2665,0.60652,3.40187,0.98667,0.01449,1,0.03015,0.02714,0.27655,3.63304,0.63818,5.37661e-05,5.37661e-05,5.37661e-05
7,11.8903,0.64021,3.15998,0.86969,0.01449,1,0.03015,0.02714,0.27655,3.63304,0.63818,6.02752e-05,6.02752e-05,6.02752e-05
8,13.1293,0.79906,3.06346,0.94914,0.01515,1,0.0321,0.0321,0.22765,3.61993,0.63167,6.53696e-05,6.53696e-05,6.53696e-05
9,14.1484,0.53272,3.0359,0.81296,0.01515,1,0.0321,0.0321,0.22765,3.61993,0.63167,6.90493e-05,6.90493e-05,6.90493e-05
10,15.1295,0.53886,3.17944,0.94048,0.01515,1,0.03109,0.03109,0.18256,3.61639,0.62206,7.13142e-05,7.13142e-05,7.13142e-05
11,16.0384,0.52489,3.28284,0.78623,0.01515,1,0.03109,0.03109,0.18256,3.61639,0.62206,7.21645e-05,7.21645e-05,7.21645e-05
12,16.909,0.65861,3.0871,0.82306,0.01515,1,0.03109,0.03109,0.18256,3.61639,0.62206,7.16e-05,7.16e-05,7.16e-05
13,18.239,0.37437,3.25697,0.74222,0.01695,1,0.03015,0.03015,0.24373,3.61919,0.61802,6.96209e-05,6.96209e-05,6.96209e-05
14,19.1688,0.36071,2.84956,0.72161,0.01695,1,0.03015,0.03015,0.24373,3.61919,0.61802,6.6227e-05,6.6227e-05,6.6227e-05
15,20.076,0.72667,3.07831,0.80029,0.01695,1,0.03015,0.03015,0.24373,3.61919,0.61802,6.14184e-05,6.14184e-05,6.14184e-05
16,21.0766,0.63889,3.58795,0.90939,0.01754,1,0.03015,0.02714,0.33116,3.62157,0.61989,5.51951e-05,5.51951e-05,5.51951e-05
17,21.9909,0.43511,3.2493,0.87242,0.01754,1,0.03015,0.02714,0.33116,3.62157,0.61989,4.75571e-05,4.75571e-05,4.75571e-05
18,22.8808,0.56648,3.06077,0.78642,0.01754,1,0.03015,0.02714,0.33116,3.62157,0.61989,3.85044e-05,3.85044e-05,3.85044e-05
19,23.6495,0.70554,2.75592,0.87948,0.01754,1,0.03015,0.02714,0.33116,3.62157,0.61989,2.8037e-05,2.8037e-05,2.8037e-05
20,24.577,0.42966,3.01363,0.87461,0.01887,1,0.24875,0.04975,0.34419,3.62185,0.61861,1.61548e-05,1.61548e-05,1.61548e-05
