epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6679,1.93019,2.40802,1.10357,0.40042,0.28788,0.22466,0.11292,1.19103,25.8032,0.72521,0.000468772,0.000468772,0.000468772
2,170.122,1.68117,1.28241,1.02924,0.50181,0.41818,0.3564,0.20305,1.13455,34.1384,0.69518,0.000633221,0.000633221,0.000633221
3,270.064,1.62702,1.16722,1.01874,0.49458,0.43535,0.38048,0.22081,1.05556,60.5608,0.68057,0.000483289,0.000483289,0.000483289
